Row.names	Pop1	Pop2	Genetic-Group	Pop3	Group.x	Genotype_ID	Group.y	Sampling_year	Group_2	Specie	Race
ChNa195806	1,00E-05	0.99998	HL-LR	1,00E-05	LR<1960	ChNa195806	LR<1960	1958	ChNa1958	Zea mays ssp. mays	Chalqueño
ChNa195807	1,00E-05	0.99998	HL-LR	1,00E-05	LR<1960	ChNa195807	LR<1960	1958	ChNa1958	Zea mays ssp. mays	Chalqueño
ChNa195808	1,00E-05	0.99998	HL-LR	1,00E-05	LR<1960	ChNa195808	LR<1960	1958	ChNa1958	Zea mays ssp. mays	Chalqueño
ChNa195809	1,00E-05	0.99998	HL-LR	1,00E-05	LR<1960	ChNa195809	LR<1960	1958	ChNa1958	Zea mays ssp. mays	Chalqueño
ChNa200302	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa200302	LR>2000	2003	ChNa2003	Zea mays ssp. mays	Chalqueño
ChNa200303	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa200303	LR>2000	2003	ChNa2003	Zea mays ssp. mays	Chalqueño
ChNa200304	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa200304	LR>2000	2003	ChNa2003	Zea mays ssp. mays	Chalqueño
ChNa200305	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa200305	LR>2000	2003	ChNa2003	Zea mays ssp. mays	Chalqueño
ChNa201501	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa201501	LR>2000	2015	ChNa2015	Zea mays ssp. mays	Chalqueño
ChNa201502	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa201502	LR>2000	2015	ChNa2015	Zea mays ssp. mays	Chalqueño
ChNa201503	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa201503	LR>2000	2015	ChNa2015	Zea mays ssp. mays	Chalqueño
ChNa201504	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa201504	LR>2000	2015	ChNa2015	Zea mays ssp. mays	Chalqueño
ChNa201505	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa201505	LR>2000	2015	ChNa2015	Zea mays ssp. mays	Chalqueño
ChNa201506	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa201506	LR>2000	2015	ChNa2015	Zea mays ssp. mays	Chalqueño
ChNa201507	1,00E-05	0.99998	HL-LR	1,00E-05	LR>2000	ChNa201507	LR>2000	2015	ChNa2015	Zea mays ssp. mays	Chalqueño
